"","Year","Month","Day","Extent","Missing"
"2","1978",10,"  26",10.231,"      0.000"
"3","1978",10,"  28",10.42,"      0.000"
"4","1978",10,"  30",10.557,"      0.000"
"5","1978",11,"  01",10.67,"      0.000"
"6","1978",11,"  03",10.777,"      0.000"
"7","1978",11,"  05",10.968,"      0.000"
"8","1978",11,"  07",11.08,"      0.000"
"9","1978",11,"  09",11.189,"      0.000"
"10","1978",11,"  11",11.314,"      0.000"
"11","1978",11,"  13",11.46,"      0.000"
"12","1978",11,"  15",11.539,"      0.000"
"13","1978",11,"  17",11.696,"      0.000"
"14","1978",11,"  19",11.87,"      0.000"
"15","1978",11,"  21",12.053,"      0.000"
"16","1978",11,"  23",12.274,"      0.000"
"17","1978",11,"  25",12.441,"      0.000"
"18","1978",11,"  27",12.662,"      0.000"
"19","1978",11,"  29",12.684,"      0.000"
"20","1978",12,"  01",12.725,"      0.000"
"21","1978",12,"  03",12.66,"      0.000"
"22","1978",12,"  05",12.785,"      0.000"
"23","1978",12,"  07",13.051,"      0.000"
"24","1978",12,"  09",13.143,"      0.000"
"25","1978",12,"  11",13.437,"      0.000"
"26","1978",12,"  13",13.603,"      0.000"
"27","1978",12,"  15",13.649,"      0.000"
"28","1978",12,"  17",13.807,"      0.000"
"29","1978",12,"  19",13.892,"      0.000"
"30","1978",12,"  21",13.996,"      0.000"
"31","1978",12,"  23",14.189,"      0.000"
"32","1978",12,"  25",14.268,"      0.000"
"33","1978",12,"  27",14.383,"      0.000"
"34","1978",12,"  29",14.5,"      0.000"
"35","1978",12,"  31",14.585,"      0.000"
"36","1979",1,"  02",14.997,"      0.000"
"37","1979",1,"  04",14.922,"      0.000"
"38","1979",1,"  06",14.929,"      0.000"
"39","1979",1,"  08",14.968,"      0.000"
"40","1979",1,"  10",15.19,"      0.000"
"41","1979",1,"  12",15.327,"      0.000"
"42","1979",1,"  14",15.352,"      0.000"
"43","1979",1,"  16",15.5,"      0.000"
"44","1979",1,"  18",15.517,"      0.000"
"45","1979",1,"  20",15.709,"      0.000"
"46","1979",1,"  22",15.679,"      0.000"
"47","1979",1,"  24",15.745,"      0.000"
"48","1979",1,"  26",15.686,"      0.000"
"49","1979",1,"  28",15.777,"      0.000"
"50","1979",1,"  30",15.912,"      0.000"
"51","1979",2,"  01",15.857,"      0.000"
"52","1979",2,"  03",15.839,"      0.000"
"53","1979",2,"  05",15.831,"      0.000"
"54","1979",2,"  07",15.801,"      0.000"
"55","1979",2,"  09",15.99,"      0.000"
"56","1979",2,"  11",16.099,"      0.000"
"57","1979",2,"  13",16.289,"      0.000"
"58","1979",2,"  15",16.323,"      0.000"
"59","1979",2,"  17",16.343,"      0.000"
"60","1979",2,"  19",16.291,"      0.000"
"61","1979",2,"  21",16.26,"      0.000"
"62","1979",2,"  23",16.401,"      0.000"
"63","1979",2,"  25",16.579,"      0.000"
"64","1979",2,"  27",16.551,"      0.000"
"65","1979",3,"  01",16.635,"      0.000"
"66","1979",3,"  03",16.457,"      0.000"
"67","1979",3,"  05",16.568,"      0.000"
"68","1979",3,"  07",16.547,"      0.000"
"69","1979",3,"  09",16.536,"      0.000"
"70","1979",3,"  11",16.513,"      0.000"
"71","1979",3,"  13",16.414,"      0.000"
"72","1979",3,"  15",16.31,"      0.000"
"73","1979",3,"  17",16.467,"      0.000"
"74","1979",3,"  19",16.505,"      0.000"
"75","1979",3,"  21",16.349,"      0.000"
"76","1979",3,"  23",16.279,"      0.000"
"77","1979",3,"  25",16.264,"      0.000"
"78","1979",3,"  27",16.06,"      0.000"
"79","1979",3,"  29",15.763,"      0.000"
"80","1979",3,"  31",15.804,"      0.000"
"81","1979",4,"  02",15.66,"      0.000"
"82","1979",4,"  04",15.641,"      0.000"
"83","1979",4,"  06",15.695,"      0.000"
"84","1979",4,"  08",15.794,"      0.000"
"85","1979",4,"  10",15.761,"      0.000"
"86","1979",4,"  12",15.655,"      0.000"
"87","1979",4,"  14",15.5,"      0.000"
"88","1979",4,"  16",15.454,"      0.000"
"89","1979",4,"  18",15.51,"      0.000"
"90","1979",4,"  20",15.343,"      0.000"
"91","1979",4,"  22",15.255,"      0.000"
"92","1979",4,"  24",15.224,"      0.000"
"93","1979",4,"  26",15.141,"      0.000"
"94","1979",4,"  28",15.108,"      0.000"
"95","1979",4,"  30",14.961,"      0.000"
"96","1979",5,"  02",14.626,"      0.000"
"97","1979",5,"  04",14.498,"      0.000"
"98","1979",5,"  06",14.45,"      0.000"
"99","1979",5,"  08",14.325,"      0.000"
"100","1979",5,"  10",14.149,"      0.000"
"101","1979",5,"  12",14.012,"      0.000"
"102","1979",5,"  14",13.836,"      0.000"
"103","1979",5,"  16",13.862,"      0.000"
"104","1979",5,"  18",13.691,"      0.000"
"105","1979",5,"  20",13.56,"      0.000"
"106","1979",5,"  22",13.529,"      0.000"
"107","1979",5,"  24",13.364,"      0.000"
"108","1979",5,"  26",13.399,"      0.000"
"109","1979",5,"  28",13.292,"      0.000"
"110","1979",5,"  30",13.26,"      0.000"
"111","1979",6,"  01",13.076,"      0.000"
"112","1979",6,"  03",12.977,"      0.000"
"113","1979",6,"  05",12.832,"      0.000"
"114","1979",6,"  07",12.791,"      0.000"
"115","1979",6,"  09",12.854,"      0.000"
"116","1979",6,"  11",12.733,"      0.000"
"117","1979",6,"  13",12.673,"      0.000"
"118","1979",6,"  15",12.548,"      0.000"
"119","1979",6,"  17",12.517,"      0.000"
"120","1979",6,"  19",12.415,"      0.000"
"121","1979",6,"  21",12.373,"      0.000"
"122","1979",6,"  23",12.243,"      0.000"
"123","1979",6,"  25",12.112,"      0.000"
"124","1979",6,"  27",11.977,"      0.000"
"125","1979",6,"  29",11.829,"      0.000"
"126","1979",7,"  01",11.562,"      0.000"
"127","1979",7,"  03",11.363,"      0.000"
"128","1979",7,"  05",11.255,"      0.000"
"129","1979",7,"  07",10.936,"      0.000"
"130","1979",7,"  09",10.793,"      0.000"
"131","1979",7,"  11",10.662,"      0.000"
"132","1979",7,"  13",10.503,"      0.000"
"133","1979",7,"  15",10.401,"      0.000"
"134","1979",7,"  17",10.256,"      0.000"
"135","1979",7,"  19",9.927,"      0.000"
"136","1979",7,"  21",9.919,"      0.000"
"137","1979",7,"  23",9.668,"      0.000"
"138","1979",7,"  25",9.614,"      0.000"
"139","1979",7,"  27",9.556,"      0.000"
"140","1979",7,"  29",9.342,"      0.000"
"141","1979",7,"  31",9.223,"      0.000"
"142","1979",8,"  02",9,"      0.000"
"143","1979",8,"  04",8.859,"      0.000"
