word3,value,channel,person
arrested,-3,ndtv,rahul
faking,-3,ndtv,rahul
lost,-3,ndtv,rahul
misleading,-3,ndtv,rahul
perfect,3,ndtv,rahul
praises,3,ndtv,rahul
accused,-2,ndtv,rahul
accuses,-2,ndtv,rahul
accusing,-2,ndtv,rahul
approves,2,ndtv,rahul
ashamed,-2,ndtv,rahul
cheers,2,ndtv,rahul
clarifies,2,ndtv,rahul
condemns,-2,ndtv,rahul
disaster,-2,ndtv,rahul
effectively,2,ndtv,rahul
failed,-2,ndtv,rahul
helps,2,ndtv,rahul
hopes,2,ndtv,rahul
insulted,-2,ndtv,rahul
rejoices,4,republic,rahul
wins,4,republic,rahul
joy,3,republic,rahul
lucky,3,republic,rahul
accuses,-2,republic,rahul
detained,-2,republic,rahul
eager,2,republic,rahul
enjoying,2,republic,rahul
fail,-2,republic,rahul
honoured,2,republic,rahul
hopeful,2,republic,rahul
mourns,-2,republic,rahul
troubled,-2,republic,rahul
admits,-1,republic,rahul
apologise,-1,republic,rahul
demands,-1,republic,rahul
exposed,-1,republic,rahul
extends,1,republic,rahul
promoting,1,republic,rahul
reaches,1,republic,rahul
rape,-4,cnnnews18,rahul
liar,-3,cnnnews18,rahul
accuses,-2,cnnnews18,rahul
blames,-2,cnnnews18,rahul
condemnation,-2,cnnnews18,rahul
criticizing,-2,cnnnews18,rahul
failed,-2,cnnnews18,rahul
fulfill,2,cnnnews18,rahul
mocks,-2,cnnnews18,rahul
revives,2,cnnnews18,rahul
war,-2,cnnnews18,rahul
apologise,-1,cnnnews18,rahul
attacked,-1,cnnnews18,rahul
clears,1,cnnnews18,rahul
committed,1,cnnnews18,rahul
demanded,-1,cnnnews18,rahul
demands,-1,cnnnews18,rahul
fresh,1,cnnnews18,rahul
join,1,cnnnews18,rahul
reaches,1,cnnnews18,rahul
